tile_number,original_index,easting,northing,i,j,hilltop_id,Cht,S,R,Lh,BasinID,a,b,StreamID,HilltopSlope,DivergentCount,PlanarCountFlag,E_Star,R_Star,EucDist,EPSG,latitude,longitude,an_avg_ETR,an_avg_TMAX,an_avg_TMIN,an_cv_AET,an_cv_ETR,an_cv_PET,an_cv_PRCP,an_cv_WDI,an_sd_GDD0,an_sd_GDD5,an_sd_TMAX,an_sd_TMIN,an_sum_AET,an_sum_GDD0,an_sum_GDD5,an_sum_PET,an_sum_PRCP,an_sum_WDI,index_right,prov_no,map_symb2
20,52526.0,836340.0,4518780.0,2078.0,1166.0,1.0,-0.0039607,0.196516,42.8029,210.908,591.0,2125.0,1361.0,1.0,0.139722,0.0,273.0,1.94146,0.245645,203.841,32618.0,40.75118387430299,-77.0162745468662,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-1.7e+308,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476,114.0,19.0,
21,28220.0,831240.0,4531620.0,1844.0,794.0,1.0,-0.00505768,0.277817,36.8985,148.896,380.0,1495.0,984.0,1.0,0.227326,4.0,164.0,1.56814,0.347271,140.159,32618.0,40.86867790379212,-77.06950802692423,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-1.7e+308,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476,114.0,19.0,
22,34880.0,817427.0,4534070.0,1291.0,982.0,2.0,-0.00363415,0.183808,45.326,259.447,384.0,1334.0,1149.0,1.0,0.150744,0.0,325.0,1.83631,0.229761,249.809,32618.0,40.896028778746846,-77.23206451920507,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-1.7e+308,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476,114.0,19.0,
23,48366.0,844225.0,4536620.0,1510.0,1647.0,1.0,-0.00299833,0.14932,28.4827,194.697,364.0,1319.0,1687.0,1.0,0.106564,0.0,240.0,1.39748,0.18665,185.472,32618.0,40.90828397292265,-76.91325396177886,1.0,-6.61787863995767,-14.3900754359325,2.1505010560328586,-1.7e+308,2.1505010560328586,0.472543890081995,0.4549137264495433,61.404833690460805,14.709085016466684,11.108546168622322,11.38114652498287,28.03636405413801,412.7454606958411,82.37272850017656,28.03636405413801,1415.8727483708751,1387.836384316737,114.0,19.0,
24,40011.5,829740.0,4543990.0,1672.0,816.0,1.0,-0.0035851,0.157915,43.9536,284.189,436.0,1956.0,1024.0,1.0,0.1283515,0.0,376.0,2.019565,0.1973935,271.8455,32618.0,40.98048870476464,-77.08080793308693,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-inf,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476,114.0,19.0,
25,86535.5,838973.0,4553350.0,1432.0,1183.0,2.0,-0.00367451,0.203509,60.6555,301.32349999999997,252.0,1054.0,1312.0,1.0,0.1613015,0.0,364.0,2.37183,0.254387,294.246,32618.0,41.06082852557428,-76.96625527646951,0.9818181818181818,-8.621969504253657,-16.93924204562085,2.809397713111169,-inf,2.8002637625472535,0.5240255149758791,0.5169990094708804,36.47103316887797,4.744417041846877,11.099478290804747,11.213615179069317,8.681818311187355,227.19091247631744,25.13636401092464,8.690909220413728,1278.6091099618511,1269.9182007414374,114.0,19.0,
26,98068.0,849034.0,4571150.0,1438.0,1264.0,2.0,-0.00315123,0.250257,79.7954,311.044,712.0,1654.0,1481.0,1.0,0.185204,0.0,377.0,2.05042,0.312821,307.96,32618.0,41.21629772815749,-76.8367714691759,0.9818181818181818,-8.621969504253657,-16.93924204562085,2.809397713111169,-1.7e+308,2.8002637625472535,0.5240255149758791,0.5169990094708804,36.47103316887797,4.744417041846877,11.099478290804747,11.213615179069317,8.681818311187355,227.19091247631744,25.13636401092464,8.690909220413728,1278.6091099618511,1269.9182007414374,114.0,19.0,
27,28335.0,600260.0,4218860.0,1226.0,2019.0,2.0,-0.0100764,0.337403,60.7812,185.035,223.0,1258.0,1942.0,1.0,0.226054,56.0,163.0,4.49207,0.421754,176.286,32617.0,38.11202171272526,-79.85638592490787,0.9782529583469342,-1.0048484623883709,-11.878636098128151,1.1466400920581852,0.06037968463234954,1.1390762948433495,0.40117709286188313,0.3506914497967571,120.57144967701161,57.70969591709146,11.409201710042373,12.894360018860219,119.11818359318104,974.8545599810102,397.290915011005,119.70909269289537,1670.4636612554843,1550.754568562589,53.0,0.0,
28,37886.5,592702.0,4182250.0,1464.0,1888.0,2.0,-0.009677175,0.37899099999999997,69.03555,182.7065,530.0,1571.0,1858.0,1.0,0.2805645,71.0,149.0,4.14773,0.473738,176.7,32617.0,37.78285330122157,-79.94723708166951,0.9912693751604286,2.342802977937302,-8.629014958641633,1.01230778063921,0.02753846940185617,1.0071546051079834,0.36865923719927524,0.28109593815226,164.6425203948031,99.5182527068295,11.524690978454554,12.907170662963868,227.8090943037109,1464.4272945489395,761.2909204350276,228.7636397724802,1446.018203365532,1217.2545635930517,53.0,0.0,
29,80703.5,637441.0,4225895.0,1615.5,1149.0,2.0,-0.005886499999999999,0.3199115,71.1541,227.30349999999999,302.0,1613.0,1224.0,1.0,0.23724,44.0,233.0,3.307585,0.39988900000000005,219.0365,32617.0,38.170509846942,-79.43101858882773,0.9710883718585855,0.12825757289079553,-11.004923996445017,1.1265371758041347,0.0687313466817474,1.1178295275410934,0.441573695133959,0.38338544171565403,132.21560017554575,68.68557502895075,11.214387718488984,12.625082289618895,131.93636560236865,1087.6545616618612,482.88182537731797,132.7000019773841,1514.6909316615624,1381.9909296841784,53.0,0.0,
