,filename,original_index,easting,northing,i,j,hilltop_id,Cht,S,R,Lh,BasinID,a,b,StreamID,HilltopSlope,DivergentCount,PlanarCountFlag,E_Star,R_Star,EucDist,tile_number,EPSG,latitude,longitude,an_avg_ETR,an_avg_TMAX,an_avg_TMIN,an_cv_AET,an_cv_ETR,an_cv_PET,an_cv_PRCP,an_cv_WDI,an_sd_GDD0,an_sd_GDD5,an_sd_TMAX,an_sd_TMIN,an_sum_AET,an_sum_GDD0,an_sum_GDD5,an_sum_PET,an_sum_PRCP,an_sum_WDI
10,tile_19_filled_HilltopData,54252.0,772226.0,4506050.0,986.0,1612.0,2.0,-0.00357007,0.165783,40.1692,242.29,238.0,1250.0,1487.0,1.0,0.123477,0.0,296.0,2.03105,0.207229,235.083,19,32618.0,40.66046292169758,-77.78002111670438,1.0,-7.847727097316899,-15.56749965203926,2.3463231215498404,-1.7e+308,2.3463231215498404,0.5135998022489345,0.5007548681062038,51.0249122452201,9.637911740044112,11.289338435484773,11.761653448093483,17.13636389171535,336.38182319429785,53.25454624810002,17.13636389171535,1306.472746740688,1289.3363828489726
11,tile_1_filled_HilltopData,35072.0,638565.0,4266750.0,1412.0,1574.0,2.0,-0.00753022,0.271688,51.8614,193.295,95.0,1379.0,1771.0,1.0,0.202273,17.0,214.0,3.20199,0.33961,183.432,1,32617.0,38.538430664779504,-79.41009086693305,0.9963065669528116,-1.8641666249992948,-12.665605777507704,1.3313423558287831,0.012370041140353217,1.3292848659149767,0.4979055677463803,0.46431439031525285,110.03425334779708,48.48076439943943,11.331951627191625,12.727769467969159,71.61818288537589,858.0545582405546,322.16364116424865,71.718182886866,1675.3818431469526,1603.6636602600868
12,tile_20_filled_HilltopData,41991.5,836289.0,4519280.0,1587.0,1115.0,1.0,-0.004191415,0.1946175,42.2883,215.712,399.0,1674.0,1335.0,1.0,0.14578449999999998,0.0,272.0,2.078195,0.243272,207.029,20,32618.0,40.75526820510776,-77.01658177829434,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-1.7e+308,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476
13,tile_21_filled_HilltopData,17720.0,831814.0,4532690.0,771.0,1368.0,1.0,-0.00477799,0.146957,18.1152,127.053,125.0,841.0,1305.0,1.0,0.106145,0.0,158.0,1.40501,0.183696,119.562,21,32618.0,40.87817920185201,-77.06207133649019,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-1.7e+308,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476
14,tile_22_filled_HilltopData,42833.0,817514.0,4533900.0,1458.0,1069.0,2.0,-0.00372644,0.151063,19.8833,162.172,454.0,1576.0,1181.0,1.0,0.124696,0.0,207.0,1.32322,0.188829,153.625,22,32618.0,40.894562686051096,-77.2310968904771,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-1.7e+308,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476
15,tile_23_filled_HilltopData,47727.5,843826.0,4536630.0,1500.0,1248.0,1.0,-0.003395305,0.146752,25.253500000000003,175.1955,364.0,1266.0,1334.0,1.0,0.10073,0.0,216.0,1.407355,0.1834405,167.41750000000002,23,32618.0,40.9084087420819,-76.91773164583964,1.0,-6.61787863995767,-14.3900754359325,2.1505010560328586,-1.7e+308,2.1505010560328586,0.472543890081995,0.4549137264495433,61.404833690460805,14.709085016466684,11.108546168622322,11.38114652498287,28.03636405413801,412.7454606958411,82.37272850017656,28.03636405413801,1415.8727483708751,1387.836384316737
16,tile_24_filled_HilltopData,40366.5,830033.0,4543990.0,1677.0,1109.0,1.0,-0.003744335,0.13360650000000002,18.864649999999997,158.14749999999998,436.0,1937.0,1239.0,1.0,0.1025715,0.0,201.0,1.351865,0.167008,151.00549999999998,24,32618.0,40.98039199817312,-77.0772724864451,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-1.7e+308,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476
17,tile_25_filled_HilltopData,91490.0,838972.0,4553280.0,1498.0,1182.0,2.0,-0.00375406,0.189175,45.2571,232.735,551.0,1265.0,1277.0,1.0,0.153531,0.0,282.0,1.8838,0.236468,227.269,25,32618.0,41.060219723492196,-76.96639015178789,0.9818181818181818,-8.621969504253657,-16.93924204562085,2.809397713111169,-1.7e+308,2.8002637625472535,0.5240255149758791,0.5169990094708804,36.47103316887797,4.744417041846877,11.099478290804747,11.213615179069317,8.681818311187355,227.19091247631744,25.13636401092464,8.690909220413728,1278.6091099618511,1269.9182007414374
18,tile_26_filled_HilltopData,107333.0,848984.0,4571080.0,1503.0,1214.0,2.0,-0.00317909,0.240836,73.0186,283.909,712.0,1963.0,1450.0,1.0,0.182658,0.0,346.0,1.92223,0.301045,281.17,26,32618.0,41.21574313426666,-76.83739446460517,0.9818181818181818,-8.621969504253657,-16.93924204562085,2.809397713111169,-1.7e+308,2.8002637625472535,0.5240255149758791,0.5169990094708804,36.47103316887797,4.744417041846877,11.099478290804747,11.213615179069317,8.681818311187355,227.19091247631744,25.13636401092464,8.690909220413728,1278.6091099618511,1269.9182007414374
19,tile_27_filled_HilltopData,39355.5,600075.0,4218500.0,1586.0,1834.0,2.0,-0.0112797,0.33572,55.73095,166.018,285.0,1672.0,1794.0,1.0,0.22690149999999998,55.0,140.0,4.539905,0.41965050000000004,159.453,27,32617.0,38.108755929514615,-79.85849663840224,0.9782529583469342,-1.0048484623883709,-11.878636098128151,1.1466400920581852,0.06037968463234954,1.1390762948433495,0.40117709286188313,0.3506914497967571,120.57144967701161,57.70969591709146,11.409201710042373,12.894360018860219,119.11818359318104,974.8545599810102,397.290915011005,119.70909269289537,1670.4636612554843,1550.754568562589
