Sample Ida,[9Bereac] (atoms g-1)b,[9Bemin] (atoms g-1)b,10Bei LLNL #,Quartz mass (g),9Be Carrier Mass (μg),Blank-corrected AMS 10Bei/9Becarrier ratio , Blank-corrected AMS 10Bei/9Becarrier ratio ± 1σ,[10Bei] (atoms g-1),[10Bei] (atoms g-1) ± 1σ ,10Bei prod. Rate (atoms g-1 yr-1)c,10Bem LLNL #,Sample mass (g),9Be Carrier Mass (μg),Blank-corrected AMS 10Bemet/9Becarrier ratio ,Blank-corrected AMS 10Bemet/9Becarrier ratio  ± 1σ,[10Bem] (atoms g-1),[10Bem] (atoms g-1)d ± 1σ,10Bem deposition rate (atoms cm-2 yr-1 x106)e,
POT39,1.14E+17,1.167E+17,BE29101,20.12,248.2,6.72316E-13,1.55689E-14,554367.5788,12837.51471,5.65,BE29394,0.581,299.4,1.1546E-11,7.44101E-14,398000000,2600000,1.94,
POT40,4.81E+16,3.31917E+16,BE29102,18.22,250,1.02608E-12,1.68322E-14,941174.081,15439.39185,6.86,BE29395,0.511,298.4,9.29598E-12,8.59672E-14,363000000,3400000,1.93,
POT41,4.57E+16,1.22806E+17,BE29103,18.67,251.3,4.10887E-13,9.61479E-15,369589.387,8648.41865,6.5,BE29396,0.524,300.4,1.0801E-11,5.80163E-14,414000000,2200000,2.04,
POT42,1.4E+17,,BE29104,18.54,247.8,1.23802E-12,2.05131E-14,1106297.869,18330.56974,5.49,BE29397,0.513,300.4,4.34464E-11,4.464E-13,1700000000,17500000,1.82,
POT43,2.92E+16,2.66868E+16,BE29105,20.49,250.6,6.72642E-13,1.62189E-14,549874.6736,13258.67877,6.55,BE27106,0.575,299.4,7.53884E-12,1.12451E-13,262000000,3900000,2.05,
POT44,2.93E+16,4.48699E+16,BE29106,18.6,248.4,4.93212E-13,8.35188E-15,440242.9755,7454.922268,7.12,BE29398,0.546,299.4,9.57666E-12,9.22854E-14,351000000,3400000,2.15,
POT45,4.2E+16,7.30301E+16,BE29107,17.16,249.1,2.46031E-13,5.65895E-15,238677.1438,5489.802683,9.19,BE29399,0.507,299.4,5.51624E-12,3.64789E-14,218000000,1400000,2.11,
POT46,2.87E+16,,BE29108,17.21,250.2,4.07469E-13,9.52259E-15,395808.6497,9250.083728,10.82,BE29401,0.549,299.4,8.39872E-12,7.64514E-14,306000000,2800000,2.48,
POT47,9.62E+16,,,,,,,,,,BE29402,0.554,298.4,1.44127E-11,1.52403E-13,519000000,5500000,1.78,
POT48,1.36E+17,1.57648E+17,BE29109,18.66,251.8,9.67688E-13,1.83485E-14,872521.4323,16544.04702,5.64,BE29403,0.53,302.4,1.59526E-11,1.22818E-13,608000000,4700000,1.73,
