unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
MDif-ms;3,Minor,Metamorphic,Metasedimentary,Metaclastic,Metasandstone,Metagraywacke,Metagraywacke,, 
MDum;7,Incidental,Igneous,Plutonic,Ultramafic,Pyroxenite,,Pyroxenite,, 
MDum;7,Incidental,Igneous,Plutonic,Gabbroic,Gabbro,,Gabbro,, 
MDvc;4,"Indeterminate, major",Metamorphic,Metaigneous,Greenstone,,,Greenstone,, 
MDvc;4,"Indeterminate, major",Metamorphic,Schist,,,,Schist,Greenschist, 
MDvc;4,"Indeterminate, major",Metamorphic,Amphibolite,,,,Amphibolite,, 
MDwater;0,Major,Water,,,,,Water,, 
MDwbg;4,Major,Metamorphic,Gneiss,Muscovite-gneiss,,,Muscovite-gneiss,, 
MDwbg;4,Minor,Metamorphic,Metasedimentary,Metaclastic,Pelitic-schist,,Pelitic-schist,, 
MDwlps;4,Minor,Metamorphic,Granulite,,,,Granulite,, 
MDDhn;1,Minor,Sedimentary,Clastic,Mudstone,Shale,Black-shale,Black-shale,,"Hamilton Group including Mahantango Formation - Dark gray, laminated shale, siltstone, and very fine-grained sandstone; thickness 600 feet in west, increases to 1,200 feet in east, and Marcellus Shale - Gray-black, thinly laminated, pyritic, carbonaceous shale; thickness 250 feet in east, increases to 500 feet in west. Also includes Tioga Metabentonite Bed - Brownish-gray, thinly laminated shale containing sand-size mica flakes; thickness less than one foot; and Needmore Shale - Olive-gray to black shale and dark, thin-bedded, fossiliferous, argillaceous limestone; thickness ranges from 70 to 145 feet. "
MDDhn;1,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
MDDhn;1,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
MDDhn;1,Incidental,Sedimentary,Carbonate,Limestone,,,Limestone,, 
MDDo;1,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,,orthoquartzite 
MDDo;1,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDDo;1,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
