,unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
1464,VAgrpo;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,,Porphyritic granite 
1465,VAgrt;0,Major,Igneous,Plutonic,Granitic,Tonalite,,Tonalite,,metatonalite 
1466,VAgrt;0,Minor,Igneous,Plutonic,Granitic,Granodiorite,,Granodiorite,,metatonalite 
1467,VAgs;0,Major,Metamorphic,Metaigneous,Metavolcanic,Metabasalt,,Metabasalt,,actinolite schist meta-basalt 
1468,VAjb;0,Major,Igneous,Volcanic,Mafic-volcanic,Basalt,,Basalt,Flow, 
1469,VAJc;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
1470,VAJd;0,Major,Igneous,Volcanic,Mafic-volcanic,Basalt,,Basalt,Diabase, 
1471,VAJsh;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1472,VAJsh;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1473,VAJss;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1474,VAJss;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1475,VAJTbasalt;0,"Indeterminate, major",Igneous,Volcanic,Mafic-volcanic,Basalt,,Basalt,Dike or sill,includes diabase dikes 
1476,VAJTbasalt;0,"Indeterminate, major",Igneous,Volcanic,Mafic-volcanic,Andesite,,Andesite,Dike or sill, 
1477,VAJTbasalt;0,"Indeterminate, major",Igneous,Plutonic,Foidal-syenitic,Nepheline-syenite,,Nepheline-syenite,, 
1478,VAJTbasalt;0,"Indeterminate, major",Igneous,Plutonic,Ultramafic,Picrite,,Picrite,, 
1479,VAJTp;0,Major,Igneous,Plutonic,Ultramafic,Peridotite,,Peridotite,,"Dikes in Augusta and Rockingham Counties: nepheline syenite, teschenite-syenite, and teschenite-picrite. "
1480,VAKp;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,, 
1481,VAKp;0,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,, 
