,Strike,Dip_Angle,Symbol,Dip_Direct,geometry,Station,long,lat,Anticline_ID,Latitude_Bins,Compass_direct,Interlimb_Angle
6036,30,24,1,120,POINT (-8723315.41812175 4785088.511782706),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6048,105,28,1,195,POINT (-8722464.4518918 4785231.244215909),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6047,99,20,1,189,POINT (-8722573.736656588 4785312.917761906),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6046,183,83,1,273,POINT (-8722596.416014919 4785418.750138735),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6045,191,70,1,281,POINT (-8722672.323810706 4785443.102484331),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6049,42,32,1,132,POINT (-8722035.481755681 4785686.562477015),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6182,27,28,1,117,POINT (-8721883.711587513 4785920.24775567),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6210,93,6,1,183,POINT (-8723664.133400207 4785893.327078608),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6201,113,15,1,203,POINT (-8723447.922090275 4785962.10500523),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6186,58,45,1,148,POINT (-8723202.084871389 4786186.792771347),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6200,180,8,1,270,POINT (-8723381.011337629 4786627.770805378),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6199,18,18,1,108,POINT (-8723654.8372912 4786650.9686908955),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6193,21,32,1,111,POINT (-8723124.098461457 4786723.178431547),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6192,351,8,1,81,POINT (-8722977.603736037 4786762.141708366),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6194,96,4,1,186,POINT (-8723176.651984809 4786959.706436188),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6196,43,45,1,133,POINT (-8723343.741624227 4786970.177606987),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6195,31,56,1,121,POINT (-8723032.794716965 4787069.705008675),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6217,205,55,1,295,POINT (-8723203.528962944 4787402.236365832),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6218,31,12,1,121,POINT (-8722948.209816087 4787485.0341028925),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6187,29,33,1,119,POINT (-8722552.042130983 4786468.455488267),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6188,203,88,1,293,POINT (-8722386.703374216 4786673.385461126),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6189,2,21,1,92,POINT (-8722439.291591702 4786799.03425915),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6230,17,77,4,107,POINT (-8722234.102812832 4787390.418157893),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
3096,30,14,1,120,POINT (-8715470.23270796 4803747.497303853),,-78.27110957,39.59640449,34,"(39.5, 40.0]",SE,122.15147783251231
3097,25,12,1,115,POINT (-8715548.034459338 4803769.64232892),,-78.27110957,39.59640449,34,"(39.5, 40.0]",SE,122.15147783251231
3101,224,29,1,314,POINT (-8716126.686629498 4804669.154561021),,-78.27110957,39.59640449,34,"(39.5, 40.0]",NW,122.15147783251231
3179,46,38,1,136,POINT (-8715178.168227173 4805238.443885449),,-78.27110957,39.59640449,34,"(39.5, 40.0]",SE,122.15147783251231
