,Point_Number,Geometry,Quad,Strike,Dip_Angle,Dip_Direct,Interlimb_angle,Vert_Exag,long,lat,Unnamed: 0,Symbol,geometry,Station,Anticline_ID,Latitude_Bins,Compass_direct,Interlimb_Angle,IA,Lat_bins
76,27,-078.69620933 39.84187154,Bedford,202.0,60.0,NW,,,-078.69620933,39.84187154,,,POINT (-78.69620933 39.84187154),,,,,,,"(39.5, 40.0]"
77,27,-078.69873220 39.83884301,Bedford,200.0,56.0,NW,,,-078.69873220,39.83884301,,,POINT (-78.6987322 39.83884301),,,,,,,"(39.5, 40.0]"
78,27,-078.67483846 39.81625724,Bedford,17.0,25.0,SE,,,-078.67483846,39.81625724,,,POINT (-78.67483846 39.81625724),,,,,,,"(39.5, 40.0]"
79,27,-078.71265356 39.81485550,Bedford,190.0,32.0,NW,,,-078.71265356,39.8148555,,,POINT (-78.71265356 39.8148555),,,,,,,"(39.5, 40.0]"
80,27,-078.71900045 39.78923463,Bedford,203.0,26.0,NW,,,-078.71900045,39.78923463,,,POINT (-78.71900045 39.78923463),,,,,,,"(39.5, 40.0]"
81,27,-078.70621148 39.77599350,Bedford,27.0,18.0,SE,,,-078.70621148,39.7759935,,,POINT (-78.70621148 39.7759935),,,,,,,"(39.5, 40.0]"
82,27,-078.72689667 39.76334544,Bedford,208.0,35.0,NW,,,-078.72689667,39.76334544,,,POINT (-78.72689667 39.76334544),,,,,,,"(39.5, 40.0]"
83,27,-078.72753200 39.76491524,Bedford,204.0,45.0,NW,,,-078.72753200,39.76491524,,,POINT (-78.727532 39.76491524),,,,,,,"(39.5, 40.0]"
84,27,-078.72894504 39.75980695,Bedford,200.0,58.0,NW,,,-078.72894504,39.75980695,,,POINT (-78.72894504 39.75980695),,,,,,,"(39.5, 40.0]"
85,27,-078.71062009 39.75699477,Bedford,45.0,37.0,SE,,,-078.71062009,39.75699477,,,POINT (-78.71062009 39.75699477),,,,,,,"(39.5, 40.0]"
86,27,-078.71507480 39.75340459,Bedford,5.0,19.0,SE,,,-078.71507480,39.75340459,,,POINT (-78.7150748 39.75340459),,,,,,,"(39.5, 40.0]"
87,27,-078.73053273 39.75460265,Bedford,205.0,28.0,NW,,,-078.73053273,39.75460265,,,POINT (-78.73053273 39.75460265),,,,,,,"(39.5, 40.0]"
88,27,-078.73138750 39.75471878,Bedford,200.0,50.0,NW,,,-078.73138750,39.75471878,,,POINT (-78.7313875 39.75471878),,,,,,,"(39.5, 40.0]"
89,27,-078.71507480 39.75340459,Bedford_WellsMountain_1,,,,111.0,,-078.71507480,39.75340459,,,POINT (-78.7150748 39.75340459),,,,,,111.0,"(39.5, 40.0]"
90,27,-078.71507480 39.75340459,Bedford_WellsMountain_2,,,,108.0,,-078.71507480,39.75340459,,,POINT (-78.7150748 39.75340459),,,,,,108.0,"(39.5, 40.0]"
